What don't we know about hotel rooms?	Hotels; What Don't People Know About X?; 	and should.
What is the best way to take notes for college classes on the iPad?	Notes; iPad; 	I recently got an iPad 1 and I am trying to figure out the best way to take good and efficient notes on my iPad. It is much lighter and easier to carry than my laptop, but I want to make sure I am not limiting myself by using just an iPad, instead of a full-featured laptop with Microsoft Word.
How do I explain to my friend that I don't want to know what he gets up to with another guy in the bedroom, not because I'm homophobic, but because I just don't want to know?	Homophobia; Homosexuality; Dating and Relationships; 	He's a friend of mine who hasn't publicly come out of the closet, but he has outed himself to me. So there are certain aspects of his life that he can't talk about with anyone, including his own family. So he chooses to share these aspects with me. However, he goes into vivid detail when it comes to sexual activities with other guys. When I tell him I don't want to know, he implicitly accuses me of homophobia and expresses distress. What he doesn't seem to understand is I wouldn't want to know even if he was with a girl. I'm just uncomfortable with people I know in real life telling me about what they get up to beyond a certain level of detail. I've put this across in this manner, but he hasn't changed in this regard. I don't want him to feel like he has lost me as a confidant. I don't know if its relevant, but I'm a guy too.
Cody Pterodactyl Foster : How did you come by such an awesome middle name?	Direct Question; 	
How did the writers of Seinfeld come up with Kramer's first name, Cosmo?	Seinfeld (TV series); 	
How have people in China come to differentiate between individuals with identical names in various settings?	China; Names and Naming; 	I recall reading an article back when telephone books were in vogue that this was a problem in Beijing. From afar it appears that the prevalence of common and monosyllabic names is suited to agrarian settings and that China's lurch into urbanity would require new means of differentiation in maybe several different areas, and not just in relation to phone directories.
How do come up with an amount to ask companies for sponsorship naming a live music festival?	Concerts; Live Music; Sponsorship; Marketing; Events; Corporate Sponsorship; 	
When academicians come up with theorems or techniques, how do they get the theorems being called by their name?	Academia; Academic Research; Mathematics; Scientific Research; Mathematics Best Practices; 	Let's consider, say Nash Equilibrium.  Now, I believe Nash didn't write his paper with calling the equilibrium as "Nash Equilibrium",  as it would appear self-aggrandizing. So how come we call it Nash Equilibrium ? Who gave it the name of the person who discovered it ?
How did Tumblr make their URL have a person's name come first?	Tumblr; 	when you go to tumblr and sign up the url is firstlastname.tumblr.com.   How did they program that?
How did Netflix come up with the name Qwikster for their DVD-by-mail service?	Netflix-Qwikster Announcement (Sep 18, 2011); Netflix; Qwikster; 	(This question was originally asked before the October 11, 2011 reversal of the Qwikster spin-off strategy by Netflix).
What names have negative connotations? How did they come to acquire those negative connotations?	Connotations; Meaning; The History and Evolution of the English Language; Names and Naming; 	I've seen websites that claim:  * Bertha makes people think overweight  * Marvin makes people think "dorky." What are other examples like this?  How did those names and other such names come to have the negative connotations they have?
Ariel Seidman : How did you come up with the name ''gig'' for a task on Gigwalk?	Direct Question; 	
How did Ali Baba , a Chinese company, come up with an Arabic name?	Arabic (language); Chinese (language); Ali Baba; 	
Who came up with the name Jetsetter ? How much did the URL cost?	Group Buying Companies ; Domain Names; Travel; Startup and New Venture Origins Stories; Gilt Groupe; Jetsetter; 	
How do journalists come up with pseudonyms for sources whose names they change?	Journalism; 	Are there conventions for it or journalistic-ethics issues associated with choosing pseudonyms?  Also, take "journalist" here is an expansive sense that includes magazine and nonfiction-book writers who have cause to change the names of people they write about.
How come Unit of distance "LIGHT YEAR" got its name from unit of time?	Astronomy; 	I am kinda curious about this :)
Giordano Bruno Contestabile : How did your parents come to name you after the great astronomer?	Direct Question; 	
